first,second
21.7558,1311.81
21.7702,1376.79
21.7846,1541.02
21.7990,1775.35
21.8134,1995.35
21.8278,2349.40
21.8422,2848.74
21.8566,3585.50
21.8710,4311.00
21.8854,5155.50
21.8998,6798.00
21.9142,8314.50
21.9286,9870.00
21.9431,11590.00
21.9575,12703.72
21.9719,13098.19
21.9863,13065.95
22.0007,12122.51
22.0151,10881.30
22.0295,9113.12
22.0439,7183.26
22.0583,5390.00
22.0727,3989.00
22.0871,2788.00
22.1015,2108.00
22.1159,1561.00
22.1304,1266.00
22.1448,1064.00
22.1592,962.88
22.1736,957.77
22.1880,893.30
22.2024,932.19
22.2168,847.26
22.2312,892.28
22.2456,872.84
22.2600,854.00
22.2744,848.50
22.2888,858.50
22.3032,808.00
22.3176,808.00
22.3321,852.00
22.3465,823.00
22.3609,833.95
22.3753,830.88
22.3897,795.58
22.4041,836.00
22.4185,824.74
22.4329,811.44
22.4473,833.44
22.4617,787.00
22.4761,781.00
22.4905,777.00
22.5049,824.00
22.5194,822.00
22.5338,801.00
22.5482,864.00
22.5626,818.60
22.5770,831.91
22.5914,757.21
22.6058,730.60
22.6202,848.28
22.6346,828.84
22.6490,818.60
22.6634,830.00
22.6778,784.00
22.6922,773.00
22.7066,781.00
22.7211,790.00
22.7355,795.00
22.7499,806.33
22.7643,765.91
22.7787,788.42
22.7931,730.60
22.8075,750.05
22.8219,798.14
22.8363,738.79
22.8507,762.50
22.8651,746.00
22.8795,750.00
22.8939,767.00
22.9084,773.00
22.9228,776.00
22.9372,750.00
22.9516,760.28
22.9660,732.65
22.9804,750.05
22.9948,748.00
23.0092,775.63
23.0236,716.28
23.0380,713.21
23.0524,730.00
23.0668,761.00
23.0812,788.00
23.0956,740.00
23.1101,735.00
23.1245,795.00
23.1389,766.00
23.1533,733.67
23.1677,754.14
23.1821,779.72
23.1965,778.70
23.2109,742.88
23.2253,759.26
23.2397,742.37
23.2541,770.00
23.2685,801.00
23.2829,786.00
23.2973,785.00
23.3118,782.50
23.3262,776.00
23.3406,865.00
23.3550,858.51
23.3694,917.86
23.3838,993.58
23.3982,999.72
23.4126,1146.05
23.4270,1265.77
23.4414,1263.72
23.4558,1538.00
23.4702,1819.00
23.4846,2158.00
23.4991,2475.00
23.5135,3137.00
23.5279,3960.00
23.5423,4758.00
23.5567,5382.33
23.5711,6241.86
23.5855,6911.07
23.5999,7378.70
23.6143,7618.14
23.6287,7422.70
23.6431,7025.67
23.6575,6618.00
23.6719,5880.00
23.6863,5057.00
23.7008,4025.00
23.7152,3270.00
23.7296,2680.00
23.7440,2233.00
23.7584,1698.60
23.7728,1447.91
23.7872,1251.44
23.8016,1281.12
23.8160,1338.42
23.8304,1428.47
23.8448,1638.23
23.8592,1813.00
